data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;
13 de janeiro de 2024;Decepcionante;Da localização;Cama ruim, barulho do ar condicionado, não deixou a gente dormir direito e estacionamento privativo com péssima qualidade!;4;;;;;;;;
13 de janeiro de 2024;Péssimo;Ruim;Ruim;1;;;;;;;;
13 de janeiro de 2024;Frustração;Localização;Péssimo atendimento por falta dos funcionários na recepção. Dos três elevadores disponíveis todos estavam inoperantes sendo necessário subir com as malas até o 4°andar. Banheiro não tinha água quente;5;;;;;;;;
12 de janeiro de 2024;Não vale a pena;Da localização ,ar condicionado funciona bem.;Costumo me hospedar frequentemente em Boa viagem pela proximidade com o aeroporto, mas foi a primeira vez que me surpreendi negativamente. ;;;;;;;;;
HOTEL: totalmente despreparado para quem vem com malas; o acesso da entrada do hotel é por escada.;;;;;;;;;;;
Fiquei presa dentro do elevador;por sorte tinha um funcionário dentro; tivemos que descer com 2 malas de 23 kg cada; do 5 andar até o térreo pq os 2 elevadores (e qdo funciona dão um tranco bem forte) não estavam funcionando e vi gente na recepção dizendo que não era a primeira vez. ;;;;;;;;;
QUARTO: é bem antigo;muito escuro; os travesseiros mais fino que papel ;;;;;;;;;;
BANHEIRO: bem sujo;o AP 508 ; pra abrir o box do banheiro tem que tirar o papel higiênico; a vazão da torneira e bem pouca ;bem como o chuveiro ;;;;;;;;
GERAL: Qdo Cheguei no andar do meu quarto estavam fazendo a limpeza de outros apartamentos e tinha 2 sacolas grandes cheias de lixo;com um fedor terrível por todo o corredor.;;;;;;;;;;;
"****CAFÉ DA MANHÃ: não tomei""";4;;;;;;;;;;;
12 de janeiro de 2024;Satisfação;Bom custo benefício, cama confortável, próximo à praia, ao lado do MC, funcionários gentis e eficientes. Ótimo café da manhã.;A ventilação do banheiro faz barulho, elevador.;9;;;;;;;;
12 de janeiro de 2024;Excepcional;De tudo;Só o controle do ar estava ruim;10;;;;;;;;
11 de janeiro de 2024;Filme de terror;A localização é muito boa e fica a 15 minutos do aeroporto. O café da manhã foi bom e as camas são boas.;Foi quase um filme de terror. O quarto estava mofado e danificado, o chuveiro não esquentava, o ar condicionado muito velho e com problemas, a cortina não estava boa e pra completar o elevador quebrou e tivemos que descer 6 andares com muitas malas;4;;;;;;;;
9 de janeiro de 2024;Péssimo;Cliente o homem falta de educação;Defeito banho;1;;;;;;;;
9 de janeiro de 2024;Ótimo custo benefício, pelo preço foi otimo;Ótimo café da manhã, ótima localização;;10;;;;;;;;
9 de janeiro de 2024;A pior hospedagem da vida;Nao tive experiência positiva só desgaste , a pior experiência de hospedagem da minha vida .;O hotel está caindo aos pedaços , precisa urgente de uma reforma , inclusive devem está fazendo .;1;;;;;;;;
8 de janeiro de 2024;Decepcionante;Nada;Elevandor quebrado;;;;;;;;;
Quarto sem controle tv;;;;;;;;;;;;
Sem estacionamento ;;;;;;;;;;;;
"Demora no serviço""";4;;;;;;;;;;;
8 de janeiro de 2024;Desestimulante;Só dos empregados;De quase tudo;5;;;;;;;;
8 de janeiro de 2024;Não volto mais!;Localização.;1- Quarto Sujo;;;;;;;;;
2- Faltou agua ;;;;;;;;;;;;
3- Estacionamento terrível e com lixo exposto;;;;;;;;;;;;
4- Café da manhã sem opções ;;;;;;;;;;;;
"5- Instalações antigas""";1;;;;;;;;;;;
8 de janeiro de 2024;Ótimo custo-benefício;Hotel tem excelente custo benefício, eh confortável, café da manhã bem completinho e gostoso, localização eh ótima, tem td próximo, inclusive a praia.;;10;;;;;;;;
8 de janeiro de 2024;Gostamos do;Modernidade e limpeza.;;10;;;;;;;;
7 de janeiro de 2024;Excepcional;Disponibilidade dos funcionários do hotel em ajudar.;;10;;;;;;;;
2 de janeiro de 2024;Ruim;Localização;Ambiente mal cuidado, elevadores quebrados, tivemos que descer com as malas pelas escadas, café da manhã com poucas opções.;5;;;;;;;;
2 de janeiro de 2024;Elevadores quebrados. Banheiros sem toalhas e sem papel;Nada;Estrutura, Odor;4;;;;;;;;
28 de dezembro de 2023;Muito ruim;Localização;Camas solteiros sem ser especificado ao reservar para casal;2;;;;;;;;
22 de dezembro de 2023;Parabéns estam evoluindo;Café da manhã;Elevador parado;9;;;;;;;;
16 de dezembro de 2023;Excepcional;Atendente Andreza muito prestativa, café da manhã excelente;;10;;;;;;;;
4 de dezembro de 2023;Imundo;Muito sujo;Limpeza;2;;;;;;;;
3 de dezembro de 2023;Funcionários excelentes!;Atendimento de todos os colaboradores e o café dentro do hotel, que serve uma comida simplesmente divina!!!! ;;;;;;;;;;
"Excelente localização.""";Limpeza e deterioramento dos quartos, o que é uma pena, pois no passado foi um dos melhores hoteis da região.;5;;;;;;;;;;
30 de novembro de 2023;Custo benefício.;Café da manhã razoável.;;;;;;;;;;
Localização excelente.;;;;;;;;;;;;
"Recepcionista do dia que cheguei muito simpático e resolutivo.""";Quarto com infiltração do ar condicionado, roupa de cama e banho velho e encardidos, limpeza do quarto e banheiro ficou a desejar.;4;;;;;;;;;;
19 de novembro de 2023;Decepcionante;A localização.;A limpeza da acomodação é péssima;;;;;;;;;
10 de novembro de 2023;fraca;o hotel dizia que era cama de casal e 1 de solteiro , e na verdade todas as camas foram de solteiro;de nao poder dormir em cama de casal;3;;;;;;;;
29 de outubro de 2023;Ruim;;Hotel velho, chuveiro não esquentava, janelas no quarto que não fechavam, tv não pegava, não cobertores para se cobrir, recepcionista da manhã um pouco mal-humorada;3;;;;;;;;
23 de outubro de 2023;Bem localizado, mas não recomendo.;Só gostei da localização, pois era próximo de mercado, restaurante, etc.;O meu desagrado começou pela minha chegada. Levei exatos 50 minutos para poder fazer o check-in porque a camareira estava preparando o meu quarto. Fora que eu tinha chegado 1(uma) hora antes do horário do check-in do hotel, pois o Booking avisava que era de meio-dia (hora que cheguei), chegando lá o hotel me informa que seria às 13h e eu fiquei até as 13h 50min aguardando para fazer o check-in. Ou seja, em tempo real mesmo, fiquei esperando 1h50min para poder subir para o meu quarto. Nessa espera, pedi o wi-fi do hotel e não me passaram, pois só podiam repassar depois do check-in.;;;;;;;;;
;;;;;;;;;;;;
No quarto; o telefone estava sem funcionar. Informei isso na recepção e até a minha saída ninguém consertou ou substituiu o telefone. Estava viajando sozinha; aí pergunto: e se eu passasse mal no quarto?;;;;;;;;;;
;;;;;;;;;;;;
O quarto tinha um cheiro forte; talvez tenha sido um aromatizante posto lá; principalmente no banheiro; e eu tenho muita sensibilidade a cheiros; o que me deixou com uma forte dor de cabeça.;;;;;;;;
;;;;;;;;;;;;
O banheiro não tinha um tapete para enxugar os pés; e como ia solicitar esse tapete se o telefone do quarto estava sem funcionar? Tive que improvisar para não molhar o chão do banheiro; pois não tinha um tapete para pisar.;;;;;;;;;;
;;;;;;;;;;;;
O ar-condicionado estava sempre numa mesma temperatura. Não conseguia diminuir; assim; por muitas vezes; precisei desligar porque não estava aguentando tamanho frio.;;;;;;;;;
;;;;;;;;;;;;
Passei dois dias; pouco tempo... Mas todas essas pequenas situações me fizeram não gostar da breve estadia. Já estive em vários hotéis; inclusive em hostel; mas nunca tive tantas problemáticas assim.;;;;;;;;;
;;;;;;;;;;;;
A única coisa que realmente gostei foi da localização.;;;;;;;;;;;;
;;;;;;;;;;;;
Assim; faço questão de escrever esse textão aqui para que vocês possam ver tudo isso que relatei; isso porque vocês não perdem um hóspede que deixa de se hospedar futuramente; mas também várias indicações que poderiam ser feitas através desse hóspede.;;;;;;;;;
;;;;;;;;;;;;
"Aqui deixo registrada a minha insatisfação e o desejo de mudança nas questões aqui levantadas.""";4;;;;;;;;;;;
14 de outubro de 2023;Fantástico;Localização e simpatia dos funcionários;Nada a reclamar;9;;;;;;;;
3 de outubro de 2023;Velho e mal zelado;Localização.;Hotel com instalações velha, suja, mau cheiro devido ao canal que passa em frente. Café da manhã mal servido, poucas opções e ainda mal apresentada. Banheiro encardido, não há coberta, só lençóis bem finos. Escada em reforma sem sinalização ou isolamento. Atendimento ruim.;2;;;;;;;;
23 de setembro de 2023;Muito desconfortável;;Limpeza, ambiente da recepção é com ventilador com isso ambiente fica muito quente. Tem um pequeno restaurante que exala a fritura como se não houvesse exaustor. A limpeza do quarto muito ruim. Mas se na recepção ja é ruim que seria para causar boa impressão, imagine a do quarto.;2;;;;;;;;
18 de setembro de 2023;Não recomendo ! Péssimo !;Localização;Apartamento nada confortável;;;;;;;;;
Mobília velha;;;;;;;;;;;;
Colchões e travesseiros de péssima qualidades;;;;;;;;;;;;
Banheiro sem box; chuveiro antigo;;;;;;;;;;;
"Café mto """"ralé""""";;;;;;;;;;;;
"NÃO RECOMENDO !""";2;;;;;;;;;;;
11 de setembro de 2023;Excepcional;Atendimento localização;Cama horrível;10;;;;;;;;
3 de setembro de 2023;Decepcionante;Deixou a desejar a limpeza , o ar não funcionou tivemos que mudar de quarto;;4;;;;;;;;
23 de agosto de 2023;Não aconselho, só se for por questão financeira mesmo;Apenas localização boa;Havia hóspedes/moradores no hotel que fumavam pelas janelas, isso empesta o andar inteiro de fedor de cigarro! Torneira da pia do banheiro não fechava e fica vazando água.;5;;;;;;;;
28 de julho de 2023;foi tudo muito bom! gratidão;localização, atenção e cuidado da equipe, café da manhã, limpeza diária, valor acessível;dos colchões, muito moles :(;9;;;;;;;;
17 de julho de 2023;Aceitável;A localização do hotel.;O quarto não tinha ducha, a torneira de água fria não funcionava, o café da manhã muito restrito e o quarto muito claro. Apesar de solicitar cama de casal nos foi disponibilizado camas duplas.;5;;;;;;;;
17 de julho de 2023;Não retorna;;Quato sujo , lençóis rasgadas mal cheiroso;4;;;;;;;;
17 de julho de 2023;Excepcional;Estrutura boa, bom café da manhã.;;10;;;;;;;;
11 de julho de 2023;Ruim;Apenas do café da manhã .;Chegamos para checkin as 16:00 ( horário inicial 15), ficamos esperando na recepção pois o rapaz que nos atendeu disse que as roupas de cama que vem da lavanderia terceirizada tinha atrasado e os quartos não estavam prontos. Ao subirmos a janela estava semi aberta pois estava emperrada, a toalha muito velha desfiada e puída , a mobília do quarto estragada- portas, espelho, luzes.. o chuveiro não esquentava e dava choque ao tocar no registro, não tinha tapete no banheiro, o estacionamento paga 15,00 / dia e não é comunicado na reserva. Na madrugada escuta de gritos de outros hóspedes em tons de briga e o corredor do meu andar cheira a cigarro. A limpeza deixa a desejar .;3;;;;;;;;
10 de julho de 2023;Ruim;Da localização;Da acomodação, da limpeza e estado físico dos itens;3;;;;;;;;
4 de julho de 2023;Regular;Localização;Quiseram cobrar pelo estacionamento e na descrição informa que tem estacionamento e não que é cobrado à parte , isso fere a lei de defesa do consumidor, absurdo !;5;;;;;;;;
7 de junho de 2023;Ruim;Limpeza péssima, café da pessimo;Nada;3;;;;;;;;
27 de maio de 2023;Muito ruim;;Tomadas do quarto não funcionam, tudo muito velho, toalhas manchadas...;2;;;;;;;;
17 de maio de 2023;Funcional.;O preço e a localização nos ajudaram, tinha mercado perto, o uber achava fácil, foi tranquilo. De resto, não tem muito para destacar aqui.;O banheiro era sujo, o ar condicionado funcionava mas não tinha umas partes, a descarga da privada não funcionava, e o café da manhã era muito pobrinho, poucas opções.;5;;;;;;;;
12 de abril de 2023;Decepcionante;;As camas eram 2 de solteiro que juntaram para fazer uma cama de casal. No site informava que tinha cama de casal e nos informaram depois que não tinham cama de casal. O ar condicionado não tinha pazinha, gelava demais. Não tinha controle da tv. O banheiro não tinha tapete e o exaustor muito barulhento. A cortina do quarto estava rasgada. Café da manhã razoável.;4;;;;;;;;
6 de abril de 2023;ABAIXO DO ESPERADO;BEM LOCALIZADO . COM UM CAFE DA MANHA SATISFATORIO;GARAGEM MUITO APERTADA , E MUITO BARAULHO NO QUARTO;4;;;;;;;;
13 de março de 2023;Precisa melhorar;Pra falar a verdade nada.achei que seria melhor.;Nao tinha, estacionamento adequado ,não tinha lençóis no quarto.;5;;;;;;;;
9 de março de 2023;Mais ou menos;;Hotel fede;2;;;;;;;;
15 de fevereiro de 2023;Aceitável;;Limpeza;;;;;;;;;
"Instalações mau conservadas""";5;;;;;;;;;;;
14 de fevereiro de 2023;pensaria novamente ficar neste hotel!;quarto ok, porém ar condicionado gotejando água, estava com um equipamento médico fiquei preocupado!;funcionários com falta de respeito, estrutura fraca do hotel.;4;;;;;;;;
14 de fevereiro de 2023;Aceitável;;Insuficiência de fornecimento de toalhas e lençóis, mesmo após solicitação;5;;;;;;;;
4 de fevereiro de 2023;Pior hospedagem que já fiquei na minha vida.;Não tem nada positivo.;Esse hotel está em ruínas.;1;;;;;;;;
30 de janeiro de 2023;Aceitável;Localização e Funcionários.;A cama, eram duas de solteiro e se desgrudava. E havia solicitado cama de casal.;5;;;;;;;;
17 de janeiro de 2023;Hotel sem estrutura adequada.;Cama.;Descarga do banheiro quebrada. Ao acender a luz do banheiro liga um ventilador no teto que faz muito barulho. sem água quente. Porta sem querer fechar direito. Entorno do hotel perigoso.;5;;;;;;;;
15 de janeiro de 2023;Gostei muito!r Pretendo retornar e recomendo aos meus amigos;O café da manhã de excelente qualidade. Muito bem atendido pelos funcionários que estão de parabéns. O alimento oferecido de ótima qualidade. Pretendo voltar mais vezes. Muito obrigado pela qualidade dos serviços prestados!;Não tem nada a reclamar;9;;;;;;;;
8 de dezembro de 2022;Hotel antigo que precisa de manutenção;"Gosto do Vela Branca, os funcionários sempre são muito simpáticos e receptivos. O café da manhã é normal, sem nada a ser destacado. Agora além de hospedagem eles estão oferecendo moradia no estilo ""co-living"".";"Já faz alguns anos que vou a Recife a trabalho e me hospedo aqui, porém o hotel não ""evoluiu"" muito em questão de acomodações. A cama de casal na verdade são duas camas de solteiro, não tem lençol de casal, não tem coberta, os travesseiros são meio finos, o ar condicionado é virado pra cama, chuveiro é antigo com pouca pressão de água. No meu quarto o batente da porta do banheiro estava soltando da parede.";5;;;;;;;;
8 de dezembro de 2022;Ruim;Só a localização;Quarto lençol banheiro td ruim;;;;;;;;;
Td com aparência suja;;;;;;;;;;;;
"HORRIVEL""";3;;;;;;;;;;;
16 de outubro de 2022;Custo não compensou o benefício;Custo;Portaria;;;;;;;;;
"Limpeza""";5;;;;;;;;;;;
26 de setembro de 2022;;;;1;;;;;;;;
4 de setembro de 2022;Excepcional;D quase tudo;Não reserva vaga d estacionamento pra os hóspedes;10;;;;;;;;
3 de setembro de 2022;precisa melhorar;a localização;o estacionamento lotado, deveriam avisar antes da reserva que o estacionamento é pequeno. o chuveiro era um pingo mal dava pra tomar banho. o controle do ar condicionado não funcionava.;5;;;;;;;;
29 de agosto de 2022;Não foi a experiência que eu desejo;O único ponto de destaque é a localização para quem agenda de compromisso próximo a Recife e Boa Viagem.;Quarto em péssimo estado de conservação, sujo, mobiliário velho, roupas de cama nada confortáveis, azulejos quebrados no piso e nas paredes, paredes sujas, uma falta de cuidado com manutenção muito grande.;3;;;;;;;;
25 de agosto de 2022;Decepcionante;café da manhã razoável;atendimento, quartos antigos, danificados;;;;;;;;;
controle da Tv n funcionava;;;;;;;;;;;;
n haviam lençóis nem forro de cama;" travesseiros fracos""";4;;;;;;;;;;
12 de julho de 2022;custo- benefício bom;Os trabalhadores muito legais.;sábanas.;5;;;;;;;;
29 de junho de 2022;vale o custo benefício, mas nada de especial. Ponto positivo para os colaboradores.;O quarto é muito pequeno.;deve um dia que não arrumaram o quarto.;5;;;;;;;;
12 de junho de 2022;Decepcionante;Bem localizado em Boa viagem. Tem um Mac Donalds vizinho.;O cafe da manha tem poucas opcões, e 1h antes de terminar já nao tinha quase nada. A funcionária estava reclamando que só tinha ela na cozinha. Tinha barata nos quartos. Estacionamento pequeno, nao comporta todos os carros.;4;;;;;;;;
25 de dezembro de 2023;Uma urgência por ISO fiz essa hospedagem;O quarto até arrumado mas a limpeza do banheiro deixa a desejar;Tinha uma obra acontecendo nos apartamentos Dedé andar principalmente do lado e nós da frente do meu e a funcionária abriu a Porto com todos nós dormindo as 8:00 horas acho que deveria tem mas informações pra eles principalmente oras camareira para que mas pessoas não tenham mais esses incômodo;4;;;;;;;;
10 de fevereiro de 2025;Satisfatório;;There was only plain sheets, the matress. was not protected, some light sdidnt work, furniture was old.;6;;;;;;;;
17 de dezembro de 2024;Satisfatório;The value and localization near airport;the clean is bad;6;;;;;;;;
12 de abril de 2024;Value for money;Friendly staff;;;;;;;;;;
Parking;;;;;;;;;;;;
Easy check in and out;;;;;;;;;;;;
"Simple but good breakfast""";The rooms/bathroom looked tired;;;;;;;;;;;
No extra pillows or blankets available. ;;;;;;;;;;;;
"Room keys were old fashioned""";7;;;;;;;;;;;
7 de janeiro de 2025;Worse hotel ever;Everything there is terrible .;Everything;1;;;;;;;;
15 de outubro de 2024;Rescatamos el desayuno, abundante y rico.;La atención del personal;Las almohadas no eran mullidas, pedimos un par más para estar más cómodos.;;;;;;;;;
No estaban los juegos de toallon y toalla. Cuando pedimos que nos llevaran a la habitación solo tenían toallones limpios.;;;;;;;;;;;;
"El sector de ducha no tenía mampara ni cortina de baño lo que hizo que se mojara el piso del baño.""";8;;;;;;;;;;;
11 de outubro de 2024;Estadía muy breve;Todo muy bien, relación precio calidad, buena ubicación y desayuno bastante completo. Me pareció muy bien para una noche que estuve en el Hotel;Nada en particular, es un hotel sencillo pero limpio y con personal agradable;8;;;;;;;;
11 de agosto de 2024;Una buena opción para pasar la noche cerca del aeropuerto;La ubicación es correcta y cerca del aeropuerto, que era lo principal que buscábamos, ya que nuestro vuelo llegaba a las 2 AM. La atención del personal para facilitar el ingreso a esa hora estuvo todo OK. El desayuno también adecuado y con variedad. El precio también cumplió las expectativas en ese sentido.;El confort no es el óptimo, el colchón no era de lo mejor. La limpieza también tenía algunas oportunidades de mejora. Las fotos no se condicen mucho con la realidad.;6;;;;;;;;
30 de junho de 2024;Contento pero no conforme;El personal muy amable;;;;;;;;;;
1º de abril de 2024;Satisfatório;El desayuno fue normal, lo que se esperaba por el precio que se paga. La ubicacion es a 3 cuadras de la playa. Mi estadia fue de una noche, entre las vacaciones en Porto Galinhas y mi vuelo de regreso;El lobby y lugar de desayuno (es el mismo espacio) hacia mucho calor, el aire acondicionado, no estaba encendido en su totalidad o estaba descompuesto.;6;;;;;;;;
25 de fevereiro de 2024;A parte la stanza, tutto bene;La posizione è ottima, vicino al mare e a tante altre cose. Il personale molto carini , e pronti ad aiutare.;L’arredamento molto rovinato rotti, il bagno con lavandino che perde acqua, suporto carta igienica rotto, parete sporca. Basterebbe ricoprire i mobili e le pareti senza spendere tanto , per dare una nuova vita al locale .;6;;;;;;;;
13 de fevereiro de 2024;Lugar cómodo y buen desayuno;El desayuno es variado y uno puede comer lo necesario.;;;;;;;;;;
"En cuanto a la habitacion que me hospedé no era lo que esperaba pero por el tiempo corto que me quedé me fue bien.""";Deberían colocar un mejro extractor de aire en el baño.;;;;;;;;;;;
El aire acondicionado deberían darle mejor limpieza o mantenimiento.;;;;;;;;;;;;
"Algunas paredes del cuarto presentan humedad en las zonas inferiores.""";8;;;;;;;;;;;
24 de agosto de 2023;Iba por 4 noches, reserve una para probar pero no colmo mis expectativas y busque otra opcion.;Desayuno bueno, hay mejores y peores.;No habia agua caliente, hoy en dia los TV deberian ser Smart porque tienen muy poca variedad de canales.;;;;;;;;;
"Un hotel con poco mantenimiento.""";7;;;;;;;;;;;
25 de janeiro de 2025;Hotel cómodo. Buena relación precio/cañidad. Resultó tal como lo muestran;Muy buena ubicación. Amplio;No estaban las toallas en el baño al llegar, esperé bastante tiempo a que le las traigan después de reclamar. Faltaría una alfombra/toalla de piso en el baño.;9;;;;;;;;
23 de agosto de 2024;Péssimo;;Praticamente non esiste il servizio durante la colazione devi pulire il tavolo da solo perché il signore che sta nella sala non riesce.;1;;;;;;;;
31 de julho de 2024;Aceitável;Bon petit déjeuner;Pas de serviette dans la chambre ;;;;;;;;;
"Pas de l’eau chaude dans la douche""";5;;;;;;;;;;;
30 de abril de 2024;Valeu pela localização!;La localização;Meu banheiro ficou sem agua un dia inteiro, tuve que mudar para outro.;;;;;;;;;
A limpieza era precaria;" o ar não funcionaba e entra a muita claridade.""";4;;;;;;;;;;
5 de março de 2024;Pésima;La cercanía con el aeropuerto , el desayuno está correcto;Hay mucho por hacer, me dieron una habitación con humedad, los colchones están vencidos.;4;;;;;;;;
2 de fevereiro de 2024;Aceitável;El personal muy atento;Mal mantenido.;5;;;;;;;;
12 de setembro de 2022;Estupendo .;La disposicion del personal .Súper !!;;9;;;;;;;;
25 de março de 2025;Muito bom;;;8;;;;;;;;
24 de março de 2025;Muito bom;;;8;;;;;;;;
20 de março de 2025;Muito bom;;;8;;;;;;;;
18 de março de 2025;Bom;;;7;;;;;;;;
18 de março de 2025;Bom;;;7;;;;;;;;
10 de março de 2025;Bom;;;7;;;;;;;;
10 de março de 2025;Muito bom;;;8;;;;;;;;
2 de março de 2025;Muito bom;;;8;;;;;;;;
27 de fevereiro de 2025;Muito bom;;;8;;;;;;;;
23 de fevereiro de 2025;Bom;;;7;;;;;;;;
17 de fevereiro de 2025;Muito bom;;;8;;;;;;;;
12 de fevereiro de 2025;Bom;;;7;;;;;;;;
31 de janeiro de 2025;Bom;;;7;;;;;;;;
22 de janeiro de 2025;Satisfatório;;;6;;;;;;;;
20 de janeiro de 2025;Satisfatório;;;6;;;;;;;;
14 de janeiro de 2025;Muito bom;;;8;;;;;;;;
14 de janeiro de 2025;Muito bom;;;8;;;;;;;;
12 de janeiro de 2025;Muito bom;;;8;;;;;;;;
12 de janeiro de 2025;Satisfatório;;;6;;;;;;;;
8 de janeiro de 2025;Muito bom;;;8;;;;;;;;
7 de janeiro de 2025;Muito bom;;;8;;;;;;;;
5 de janeiro de 2025;Muito bom;;;8;;;;;;;;
4 de janeiro de 2025;Muito bom;;;8;;;;;;;;
4 de janeiro de 2025;Bom;;;7;;;;;;;;
4 de janeiro de 2025;Bom;;;7;;;;;;;;
26 de dezembro de 2024;Bom;;;7;;;;;;;;
23 de dezembro de 2024;Satisfatório;;;6;;;;;;;;
23 de dezembro de 2024;Satisfatório;;;6;;;;;;;;
19 de dezembro de 2024;Muito bom;;;8;;;;;;;;
19 de dezembro de 2024;Muito bom;;;8;;;;;;;;
18 de dezembro de 2024;Muito bom;;;8;;;;;;;;
6 de dezembro de 2024;Muito bom;;;8;;;;;;;;
5 de dezembro de 2024;Muito bom;;;8;;;;;;;;
30 de novembro de 2024;Muito bom;;;8;;;;;;;;
15 de novembro de 2024;Bom;;;7;;;;;;;;
12 de novembro de 2024;Satisfatório;;;6;;;;;;;;
8 de novembro de 2024;Bom;;;7;;;;;;;;
8 de novembro de 2024;Muito bom;;;8;;;;;;;;
7 de novembro de 2024;Bom;;;7;;;;;;;;
3 de novembro de 2024;Muito bom;;;8;;;;;;;;
2 de novembro de 2024;Muito bom;;;8;;;;;;;;
26 de outubro de 2024;Muito bom;;;8;;;;;;;;
22 de outubro de 2024;Muito bom;;;8;;;;;;;;
20 de outubro de 2024;Bom;;;7;;;;;;;;
19 de outubro de 2024;Muito bom;;;8;;;;;;;;
17 de outubro de 2024;Muito bom;;;8;;;;;;;;
14 de outubro de 2024;Muito bom;;;8;;;;;;;;
12 de outubro de 2024;Bom;;;7;;;;;;;;
9 de outubro de 2024;Bom;;;7;;;;;;;;
9 de outubro de 2024;Satisfatório;;;6;;;;;;;;
8 de outubro de 2024;Satisfatório;;;6;;;;;;;;
1º de outubro de 2024;Satisfatório;;;6;;;;;;;;
30 de setembro de 2024;Muito bom;;;8;;;;;;;;
23 de setembro de 2024;Bom;;;7;;;;;;;;
23 de setembro de 2024;Satisfatório;;;6;;;;;;;;
23 de setembro de 2024;Satisfatório;;;6;;;;;;;;
18 de setembro de 2024;Muito bom;;;8;;;;;;;;
10 de setembro de 2024;Bom;;;7;;;;;;;;
6 de setembro de 2024;Bom;;;7;;;;;;;;
5 de setembro de 2024;Muito bom;;;8;;;;;;;;
4 de setembro de 2024;Muito bom;;;8;;;;;;;;
1º de setembro de 2024;Bom;;;7;;;;;;;;
31 de agosto de 2024;Muito bom;;;8;;;;;;;;
31 de agosto de 2024;Muito bom;;;8;;;;;;;;
30 de agosto de 2024;Bom;;;7;;;;;;;;
28 de agosto de 2024;Muito bom;;;8;;;;;;;;
27 de agosto de 2024;Bom;;;7;;;;;;;;
19 de agosto de 2024;Muito bom;;;8;;;;;;;;
16 de agosto de 2024;Bom;;;7;;;;;;;;
16 de agosto de 2024;Bom;;;7;;;;;;;;
15 de agosto de 2024;Satisfatório;;;6;;;;;;;;
14 de agosto de 2024;Bom;;;7;;;;;;;;
12 de agosto de 2024;Satisfatório;;;6;;;;;;;;
5 de agosto de 2024;Bom;;;7;;;;;;;;
4 de agosto de 2024;Bom;;;7;;;;;;;;
1º de agosto de 2024;Muito bom;;;8;;;;;;;;
30 de julho de 2024;Bom;;;7;;;;;;;;
28 de julho de 2024;Muito bom;;;8;;;;;;;;
28 de julho de 2024;Muito bom;;;8;;;;;;;;
24 de julho de 2024;Muito bom;;;8;;;;;;;;
20 de julho de 2024;Muito bom;;;8;;;;;;;;
18 de julho de 2024;Muito bom;;;8;;;;;;;;
17 de julho de 2024;Muito bom;;;8;;;;;;;;
15 de julho de 2024;Bom;;;7;;;;;;;;
15 de julho de 2024;Muito bom;;;8;;;;;;;;
15 de julho de 2024;Bom;;;7;;;;;;;;
11 de julho de 2024;Muito bom;;;8;;;;;;;;
11 de julho de 2024;Muito bom;;;8;;;;;;;;
10 de julho de 2024;Bom;;;7;;;;;;;;
10 de julho de 2024;Bom;;;7;;;;;;;;
8 de julho de 2024;Muito bom;;;8;;;;;;;;
6 de julho de 2024;Muito bom;;;8;;;;;;;;
5 de julho de 2024;Bom;;;7;;;;;;;;
4 de julho de 2024;Muito bom;;;8;;;;;;;;
1º de julho de 2024;Bom;;;7;;;;;;;;
30 de junho de 2024;Satisfatório;;;6;;;;;;;;
29 de junho de 2024;Muito bom;;;8;;;;;;;;
28 de junho de 2024;Muito bom;;;8;;;;;;;;
26 de junho de 2024;Satisfatório;;;6;;;;;;;;
25 de junho de 2024;Bom;;;7;;;;;;;;
25 de junho de 2024;Satisfatório;;;6;;;;;;;;
23 de junho de 2024;Bom;;;7;;;;;;;;
22 de junho de 2024;Muito bom;;;8;;;;;;;;
20 de junho de 2024;Bom;;;7;;;;;;;;
17 de junho de 2024;Muito bom;;;8;;;;;;;;
17 de junho de 2024;Muito bom;;;8;;;;;;;;
16 de junho de 2024;Bom;;;7;;;;;;;;
11 de junho de 2024;Muito bom;;;8;;;;;;;;
8 de junho de 2024;Muito bom;;;8;;;;;;;;
7 de junho de 2024;Bom;;;7;;;;;;;;
3 de junho de 2024;Bom;;;7;;;;;;;;
3 de junho de 2024;Muito bom;;;8;;;;;;;;
31 de maio de 2024;Satisfatório;;;6;;;;;;;;
27 de maio de 2024;Satisfatório;;;6;;;;;;;;
25 de maio de 2024;Muito bom;;;8;;;;;;;;
21 de maio de 2024;Muito bom;;;8;;;;;;;;
20 de maio de 2024;Muito bom;;;8;;;;;;;;
20 de maio de 2024;Bom;;;7;;;;;;;;
14 de maio de 2024;Satisfatório;;;6;;;;;;;;
13 de maio de 2024;Bom;;;7;;;;;;;;
8 de maio de 2024;Bom;;;7;;;;;;;;
8 de maio de 2024;Bom;;;7;;;;;;;;
6 de maio de 2024;Bom;;;7;;;;;;;;
6 de maio de 2024;Muito bom;;;8;;;;;;;;
6 de maio de 2024;Bom;;;7;;;;;;;;
6 de maio de 2024;Bom;;;7;;;;;;;;
5 de maio de 2024;Muito bom;;;8;;;;;;;;
2 de maio de 2024;Muito bom;;;8;;;;;;;;
30 de abril de 2024;Muito bom;;;8;;;;;;;;
29 de abril de 2024;Muito bom;;;8;;;;;;;;
29 de abril de 2024;Muito bom;;;8;;;;;;;;
29 de abril de 2024;Satisfatório;;;6;;;;;;;;
28 de abril de 2024;Muito bom;;;8;;;;;;;;
