data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;;;;;;;;;;;;;;;;;;;;
4 de janeiro de 2025;Muito agradável em termos gerais;Funcionários muitos atenciosos;Cortinas não permitem que fiquemos a dormir um pouco mias deixa entrar o sol.;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Muito bom;Localização ótima, todavia por ser um hotel antigo, não tinha ducha higiênica e estava entrando mau cheiro pelo ralo. Café bom;;8;;;;;;;;;;;;;;;;;;;;;;;;;
3 de abril de 2025;Bom;O espaço do quarto é ótimo e a localização é excelente;Café da manhã ruim, poucas opções e comidas frias. Achei a cama muito mole, mas há quem goste.;7;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Muito bom;Não gostei da academia.;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gostei dos funcionários.""";;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2025;Tendo oportunidade voltarei com certeza;Localização, atendimento das pessoas excelente e quartos amplos;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Muito bom;Localização muito boa. Perto da praia, restaurantes e bares.;;8;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2025;Hotel atende nos requisitos principais: Boa localização;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A decepção foi que a Recepção não tem acesso as câmaras e só recebeu a reclamação para repassar a Gerência do Hotel que chegaria somente no outro dia; pela manhã. No dia 26mar( quarta-feira) pela manhã; já fazendo o check out; a Recepção ainda não tinha resposta sobre nossa mala; nem o Gerente tinha chegado ao Hotel para verificar as câmaras; etc; etc...Enfim; até agora; ainda não recebemos do Hotel;" qualquer situação sobre a recuperação da nossa mala.""";7;;;;;;;;;;;;;;;;;;;
3 de setembro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de setembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
1º de setembro de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
28 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de agosto de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
27 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
25 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
20 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
12 de agosto de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
11 de agosto de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
11 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de agosto de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
11 de agosto de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
10 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
1º de agosto de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de julho de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
27 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
26 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de julho de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
21 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
15 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
12 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
11 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
8 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de julho de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
2 de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de julho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
26 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
24 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
20 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
16 de junho de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
16 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de junho de 2024;Muito ruim;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
15 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
13 de junho de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
12 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
3 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de junho de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de junho de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
1º de junho de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
30 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
28 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
27 de maio de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
27 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de maio de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
26 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de maio de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
23 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
23 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
23 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
22 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
21 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
20 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
19 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de maio de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
18 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
16 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
11 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
8 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
7 de maio de 2024;Ruim;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
7 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de maio de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
5 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
5 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
4 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
3 de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de maio de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
1º de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de maio de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
30 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
28 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
27 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
27 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
26 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
25 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
24 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de abril de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
22 de abril de 2024;o hotel precisa melhorar;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
22 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
22 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
21 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
20 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
19 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
19 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
18 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
18 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
17 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
17 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Aceitável;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
15 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
14 de abril de 2024;Péssimo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
14 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
13 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
10 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
9 de abril de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
8 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
7 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
6 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
6 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
5 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
4 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
4 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
2 de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
1º de abril de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
31 de março de 2024;Decepcionante;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
30 de março de 2024;Excepcional;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
29 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
29 de março de 2024;Fantástico;;;9;;;;;;;;;;;;;;;;;;;;;;;;;
