data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;
13 de novembro de 2022;I dipende sono molti gentili;la camera da letto era molto accogliente;La posizione;8;;;
21 de outubro de 2022;Alles gut.;Sehr komfortables Hotel in guter Lage. Sehr gutes Frühstück mit frisch zubereiteten Tapiokas.;Nichts;10;;;
19 de outubro de 2022;Wir haben uns sehr wohl gefühlt.;Sehr schönes Hotel mit guter Ausstattung, sehr guter Lage, tollem Frühstück und sehr freundlichem und hilfsbereitem Personal.;;9;;;
17 de outubro de 2022;Excepcional;Formidable très bien merci beaucoup excellent séjour tout parfait merci;Rien;10;;;
7 de outubro de 2022;Excelente alojamiento!;todo, excelente atención e instalaciones;;10;;;
4 de outubro de 2022;excelente;su personal muy atento, habitaciones limpias, buena cama y lencería para asegurar un buen descanso, desayuno completo y muy bien ubicado cerca de todo.;el gym puede mejorar, agregar dos o tres maquinas haria que mejorada de resto todo excelente;10;;;
12 de setembro de 2022;Me sentí como en casa.;La atención y enfoque en el cliente;Los alrededores del hotel. Si tienen servicios pero las calles están en un estado mejorable.;9;;;
12 de setembro de 2022;Excepcional;Las habitaciones muy lindas;;10;;;
6 de setembro de 2022;Muito bom;la chambre et l'hotel sont très propre. le petit déjeuner est super. Le personnel est très bien;une rue à côté est très mal fréquentée;;;;
"le prix du mini bar est hors de prix. Nous avons pris par mégarde une bouteille d'eau (nous pensions que l'eau était gratuite) et cela nous a été facturé l'équivalent de 3euros. Vous vous prenez pour qui pour ce prix là ?""";8;;;;;;
21 de agosto de 2022;een fijn hotel;goede staat van de gymzaal, lekkere ontbijt en zeer vriendelijk personeel;er zijn geen ramen die open kunnen in de kamer, altijd airconditioning.;8;;;
11 de agosto de 2022;fijn hotel;prachtig accommodatie en heerlijk ontbijt;;8;;;
26 de julho de 2022;chambre formidable;la literie très confortable ;;;;;
très calme ;;;;;;;
"personnel accueillant""";pas de poubelles au restaurant ;;;;;;
"pas de thé noir""";9;;;;;;
3 de junho de 2022;4 mini crevettes dans l’assiette avec une mini portion de gnocchis cela ne fait pas lourd, mais allège grandement votre;L’accueil, le personnel, la propreté, belle chambre.;Le restaurant;8;;;
25 de maio de 2022;pulito e personale cortese;moltissimo;nulla!;10;;;
17 de maio de 2022;Muito bom;La atención de su personal;;8;;;
26 de abril de 2022;Excepcional;Basen na dachu i siłownia. Dobre śniadanie. Wygodne łóżko i codzienny serwis sprzątający . Bardzo dobre wifi;Sauna nie działała;10;;;
22 de abril de 2022;Excepcional;Atención del personal, terraza con piscina y vista bárbaras, desayuno completísimo, calidad de habitación y comodidades , excelente baño todo muy nuevo y buenos materiales.;;10;;;
8 de abril de 2022;komfortables und modernes Hotel in Recife;Großartiges und vor allem komfortables Bett, exzellentes Frühstück;der rostige Mülleimer im Bad;9;;;
5 de abril de 2022;Fantástico;Desayuno muy bueno, ubicación no tanto, tiene algunos lugares alrededor que son medio feos para andar de noche pero la ubicación en sí está buena.;;9;;;
24 de fevereiro de 2025;Bom;La ubicación, es central y cerca de restaurantes, supermercados, buen desayuno, cama cómoda;En relación precio calidad esta bajo, esperaba mucho más por el valor, la habitación era un poco antigua, falta renovación de los espacios, esta bien, pero por el precio podría ser mejor.;7;;;
2 de janeiro de 2025;Max. 1 Nacht dann weiterreisen!;Komfortable Betten, Zimmergröße ok, Ab und zu Gitarrenbegleitung zum Frühstück, Frühstück sehr gut.;Umgebung wirklich schlecht. Es riecht furchtbar und man fühlt sich nicht sicher. Nach 22uhr ist ein verlassen des Hotels nicht möglich. Nur mit Taxi. Es gibt einen rooftop Pool. Es wurde von Hotelgäste lautstark eigene Musik gehört. Der Pool wurde belagert von einer Gruppe Brasilianer die im Pool gegessen und getrunken haben. Trotz Beschwerde wiederholte sich dies jeden Abend! Es konnte kein Drink genossen werden. Ein absolutes no go!;3;;;
7 de dezembro de 2024;Bom;Bed;Ontbijt;7;;;
27 de fevereiro de 2024;Buona soluzione a boa Viagem!!!!;La camera spaziosa, ospitava un letto confortevole che favoriva un riposo di qualità, bella la piscina!;La vista della mia camera al 4’ piano era fronte parcheggio multi piano.. terribile…. Difficile regolare il miscelatore della doccia….;7;;;
18 de dezembro de 2023;Bom;Bien las instalaciones, cómoda la habitación;La televisión de la habitación no es smart tv, lo cual es impensado para estos tiempos.;;;;
Tuvimos una mala experiencia en el bar. No hay bartender; son los mismos garzones quienes preparan los tragos;" en donde se nota claramente que no conocen detalles de coctelería""";7;;;;
1º de dezembro de 2023;Buono;Buona;Il comportamento dell'addetta alla reception che mi ha chiamato il taxi per l'aeroporto: ho visto la mancia che le ha dato il tassista: ho pagato il taxi più del doppio di quanto mi era stato preventivato;7;;;
7 de setembro de 2023;Bom;La piscina y zonas comunes. Habitación amplia;En la habitación se escuchaba el sistema del aire acondicionado y era molesto. En una ocasión no pude ducharme con agua caliente caliente.;7;;;
23 de fevereiro de 2023;Péssimo;המיקום טוב;מלון לא הגיוני. אי אפשר לפתוח את החלונות החדר חנוק בלי אוויר. ביקשנו להחליף חדר אמרו שאין חדר עם חלון נפתח.;1;;;
18 de dezembro de 2022;Gutes Hotel mit gewichtigen Nachteilen;Gut geführtes neueres Hotel. Ausgezeichnetes Frühstück. Grosse Fenster mit Sicht auf die Stadt;wir buchten ein Zimmer mit King-Size Bett und erhielten ein Zimmer das für behinderte Personen geeignet war. Alles sehr geräumig, aber irgendwie doch nicht ganz optimal. Zimmer hatte eine geschlossene Verbindungstür. Im anderen Zimmer war bis spät in die Nacht Männerstimmen zu hören. Die Zimmertüren hatten einen Schliess-Automatismus, der sie zuknallen liess. ;;;;
Die Klimaanlage kam stossweise: 15 Minuten Ruhe und dann 2 Minuten mit voller Kraft. ;;;;;;;
"Nach der ersten Nacht wechselten wir das Hotel""";6;;;;;;
14 de novembro de 2022;Una de las ciudades más bellas en las que he estado, pero con el peor hotel posible....;NAda absolutamente del hotel me gustó, es sucio, decadente, su personal no es amable (sobre todo el restaurante) todo está sucio ... el hotel es el más lamentable en el que he estado en muchos años;POdría citar todo... la comida, la habitación, las zonas comunes, la atención, etc..etc..etc...;1;;;
20 de setembro de 2022;Goed gelegen, maar kamer was niet top;Locatie en nieuw gebouw;Douche liep constant over;7;;;
11 de abril de 2022;STRESSANTE;Mi è piaciuta la colazione e la posizione, letto comodo.;"Ho pagato un prezzo più alto per una stanza che avrebbe dovuto darmi maggior confort mentre invece ho riscontrato diversi problemi di adattamento. Appena arrivata, di sera tardi, non era presente in bagno il kit dei saponi per fare una doccia. Ho dovuto chiamare la reception. asciugacapelli non funzionava, così nuovamente la reception, ed il problema stava che si deve accendere una seconda luce in bagno per farlo funzionare! Non è scritto da nessuna parte. Altro problema: la sedia del tavolo rotta, di nuovo ho dovuto chiamare per farla cambiare. Altro problema manca il bollitore di acqua, ti lasciano le bustine per il the ma senza bollitore. chiamato di nuovo la reception, venuta su ha constatato che bisognava utilizzare la macchina del caffè ma senza caffè così da avere l'acqua calda per il the. Ma in stanza non lo trovi scritto da nessuna parte! Uno stress questi 4 giorni passati. La doccia presenta solo un erogatore fisso in alto senza poter gestire il ""telefono-doccia"" a tuo piacimento, per me questo è un problema. Per il bidet c'è un tubo vicino al water ma se lo usi si allaga tutto il bagno. Camera 817 da evitare.";6;;;
4 de abril de 2022;Excesivo el valor para el servicio prestado;La terraza con la piscina, lastima que no tiene vista al mar, la atención de dejar un dulce con una nota escrita de puño y letra hacia mi persona;El desayuno, mala calidad de productos, pequeño comedor para la cantidad de huéspedes. El ruido que se escucha de la calle, porque está entre avebidas, bares y hay una disco enfrente con música hasta la madrugada, aún en el piso 8 era muy molesto;5;;;
30 de março de 2025;Excepcional;;;10;;;
26 de março de 2025;Excepcional;;;10;;;
26 de março de 2025;Excepcional;;;10;;;
23 de março de 2025;Excepcional;;;10;;;
20 de março de 2025;Muito bom;;;8;;;
19 de março de 2025;Excepcional;;;10;;;
19 de março de 2025;Voltarei!;;;9;;;
19 de março de 2025;Muito bom;;;8;;;
18 de março de 2025;Excepcional;;;10;;;
17 de março de 2025;Excepcional;;;10;;;
11 de março de 2025;Excepcional;;;10;;;
10 de março de 2025;Fantástico;;;9;;;
9 de março de 2025;Excepcional;;;10;;;
6 de março de 2025;Excepcional;;;10;;;
6 de março de 2025;Excepcional;;;10;;;
5 de março de 2025;Excepcional;;;10;;;
4 de março de 2025;Excepcional;;;10;;;
4 de março de 2025;Excepcional;;;10;;;
4 de março de 2025;Muito bom;;;8;;;
4 de março de 2025;Fantástico;;;9;;;
3 de março de 2025;Excepcional;;;10;;;
28 de fevereiro de 2025;Fantástico;;;9;;;
28 de fevereiro de 2025;Muito bom;;;8;;;
25 de fevereiro de 2025;Excepcional;;;10;;;
23 de fevereiro de 2025;Excepcional;;;10;;;
23 de fevereiro de 2025;Excepcional;;;10;;;
23 de fevereiro de 2025;Fantástico;;;9;;;
23 de fevereiro de 2025;Excepcional;;;10;;;
21 de fevereiro de 2025;Excepcional;;;10;;;
18 de fevereiro de 2025;Muito bom;;;8;;;
18 de fevereiro de 2025;Excepcional;;;10;;;
17 de fevereiro de 2025;Fantástico;;;9;;;
16 de fevereiro de 2025;Maravilhosa temporada, equipe atenciosa e restaurante muiito bom!;;;10;;;
15 de fevereiro de 2025;Excepcional;;;10;;;
13 de fevereiro de 2025;Excepcional;;;10;;;
13 de fevereiro de 2025;Muito bom;;;8;;;
10 de fevereiro de 2025;Excepcional;;;10;;;
8 de fevereiro de 2025;Excepcional;;;10;;;
6 de fevereiro de 2025;Excepcional;;;10;;;
6 de fevereiro de 2025;Excepcional;;;10;;;
6 de fevereiro de 2025;Excepcional;;;10;;;
6 de fevereiro de 2025;Excepcional;;;10;;;
5 de fevereiro de 2025;Fantástico;;;9;;;
5 de fevereiro de 2025;Fantástico;;;9;;;
4 de fevereiro de 2025;Excepcional;;;10;;;
3 de fevereiro de 2025;Excepcional;;;10;;;
1º de fevereiro de 2025;Excepcional;;;10;;;
29 de janeiro de 2025;Excepcional;;;10;;;
27 de janeiro de 2025;Excepcional;;;10;;;
25 de janeiro de 2025;Fantástico;;;9;;;
22 de janeiro de 2025;Excepcional;;;10;;;
20 de janeiro de 2025;Muito bom;;;8;;;
16 de janeiro de 2025;Excepcional;;;10;;;
13 de janeiro de 2025;Fantástico;;;9;;;
11 de janeiro de 2025;Fantástico;;;9;;;
9 de janeiro de 2025;Excepcional;;;10;;;
6 de janeiro de 2025;Excepcional;;;10;;;
5 de janeiro de 2025;Excepcional;;;10;;;
4 de janeiro de 2025;Excepcional;;;10;;;
30 de dezembro de 2024;Fantástico;;;9;;;
28 de dezembro de 2024;Excepcional;;;10;;;
26 de dezembro de 2024;Fantástico;;;9;;;
23 de dezembro de 2024;Fantástico;;;9;;;
23 de dezembro de 2024;Excepcional;;;10;;;
19 de dezembro de 2024;Excepcional;;;10;;;
15 de dezembro de 2024;Excepcional;;;10;;;
14 de dezembro de 2024;Fantástico;;;9;;;
5 de dezembro de 2024;Muito bom;;;8;;;
3 de dezembro de 2024;Muito bom;;;8;;;
3 de dezembro de 2024;Fantástico;;;9;;;
2 de dezembro de 2024;Excepcional;;;10;;;
27 de novembro de 2024;Fantástico;;;9;;;
25 de novembro de 2024;Excepcional;;;10;;;
24 de novembro de 2024;Excepcional;;;10;;;
23 de novembro de 2024;Fantástico;;;9;;;
22 de novembro de 2024;Excepcional;;;10;;;
18 de novembro de 2024;Muito bom;;;8;;;
17 de novembro de 2024;Excepcional;;;10;;;
15 de novembro de 2024;Excepcional;;;10;;;
10 de novembro de 2024;Fantástico;;;9;;;
8 de novembro de 2024;Fantástico;;;9;;;
8 de novembro de 2024;Fantástico;;;9;;;
7 de novembro de 2024;Excepcional;;;10;;;
5 de novembro de 2024;Excepcional;;;10;;;
30 de outubro de 2024;Excepcional;;;10;;;
30 de outubro de 2024;Excepcional;;;10;;;
28 de outubro de 2024;Muito bom;;;8;;;
25 de outubro de 2024;Fantástico;;;9;;;
21 de outubro de 2024;Excepcional;;;10;;;
19 de outubro de 2024;Excepcional;;;10;;;
17 de outubro de 2024;Fantástico;;;9;;;
17 de outubro de 2024;Excepcional;;;10;;;
16 de outubro de 2024;Muito bom;;;8;;;
10 de outubro de 2024;Excepcional;;;10;;;
10 de outubro de 2024;Fantástico;;;9;;;
7 de outubro de 2024;Excepcional;;;10;;;
7 de outubro de 2024;Excepcional;;;10;;;
5 de outubro de 2024;Excepcional;;;10;;;
5 de outubro de 2024;Excepcional;;;10;;;
5 de outubro de 2024;Excepcional;;;10;;;
4 de outubro de 2024;Fantástico;;;9;;;
30 de setembro de 2024;Excepcional;;;10;;;
29 de setembro de 2024;Fantástico;;;9;;;
28 de setembro de 2024;Fantástico;;;9;;;
27 de setembro de 2024;Excepcional;;;10;;;
26 de setembro de 2024;Muito bom;;;8;;;
26 de setembro de 2024;Fantástico;;;9;;;
24 de setembro de 2024;Fantástico;;;9;;;
22 de setembro de 2024;Fantástico;;;9;;;
19 de setembro de 2024;Excepcional;;;10;;;
18 de setembro de 2024;Excepcional;;;10;;;
17 de setembro de 2024;Muito bom;;;8;;;
17 de setembro de 2024;Muito bom;;;8;;;
16 de setembro de 2024;Fantástico;;;9;;;
16 de setembro de 2024;Excepcional;;;10;;;
15 de setembro de 2024;Excepcional;;;10;;;
14 de setembro de 2024;Fantástico;;;9;;;
12 de setembro de 2024;Fantástico;;;9;;;
8 de setembro de 2024;Fantástico;;;9;;;
8 de setembro de 2024;Fantástico;;;9;;;
6 de setembro de 2024;Excepcional;;;10;;;
3 de setembro de 2024;Fantástico;;;9;;;
2 de setembro de 2024;Excepcional;;;10;;;
28 de agosto de 2024;Muito bom;;;8;;;
27 de agosto de 2024;Excepcional;;;10;;;
26 de agosto de 2024;Muito bom;;;8;;;
24 de agosto de 2024;Muito bom;;;8;;;
21 de agosto de 2024;Excepcional;;;10;;;
20 de agosto de 2024;Excepcional;;;10;;;
17 de agosto de 2024;Excepcional;;;10;;;
17 de agosto de 2024;Fantástico;;;9;;;
16 de agosto de 2024;Fantástico;;;9;;;
14 de agosto de 2024;Fantástico;;;9;;;
11 de agosto de 2024;Fantástico;;;9;;;
9 de agosto de 2024;Excepcional;;;10;;;
5 de agosto de 2024;Fantástico;;;9;;;
4 de agosto de 2024;Excepcional;;;10;;;
1º de agosto de 2024;Excepcional;;;10;;;
30 de julho de 2024;Fantástico;;;9;;;
29 de julho de 2024;Fantástico;;;9;;;
28 de julho de 2024;Excepcional;;;10;;;
24 de julho de 2024;Excepcional;;;10;;;
22 de julho de 2024;Excepcional;;;10;;;
22 de julho de 2024;Fantástico;;;9;;;
15 de julho de 2024;Excepcional;;;10;;;
15 de julho de 2024;Excepcional;;;10;;;
14 de julho de 2024;Excepcional;;;10;;;
10 de julho de 2024;Excepcional;;;10;;;
9 de julho de 2024;Fantástico;;;9;;;
8 de julho de 2024;Fantástico;;;9;;;
8 de julho de 2024;Fantástico;;;9;;;
7 de julho de 2024;Excepcional;;;10;;;
28 de junho de 2024;Excepcional;;;10;;;
28 de junho de 2024;Excepcional;;;10;;;
20 de junho de 2024;Fantástico;;;9;;;
19 de junho de 2024;Excepcional;;;10;;;
13 de junho de 2024;Muito bom;;;8;;;
26 de maio de 2024;Excepcional;;;10;;;
24 de maio de 2024;Excepcional;;;10;;;
20 de maio de 2024;Excepcional;;;10;;;
17 de maio de 2024;Excepcional;;;10;;;
11 de maio de 2024;Fantástico;;;9;;;
9 de maio de 2024;Muito bom;;;8;;;
9 de maio de 2024;Muito bom;;;8;;;
5 de maio de 2024;Fantástico;;;9;;;
5 de maio de 2024;Fantástico;;;9;;;
30 de abril de 2024;Excelente. Meu hotel preferido. em Recife. Destaque para o perfeito isolamento acústico dos quartos.;;;9;;;
29 de abril de 2024;Muito bom;;;8;;;
27 de abril de 2024;Excepcional;;;10;;;
24 de abril de 2024;Excepcional;;;10;;;
22 de abril de 2024;Excepcional;;;10;;;
16 de abril de 2024;Fantástico;;;9;;;
15 de abril de 2024;Excepcional;;;10;;;
8 de abril de 2024;Excepcional;;;10;;;
6 de abril de 2024;Excepcional;;;10;;;
5 de abril de 2024;Fantástico;;;9;;;
3 de abril de 2024;Excepcional;;;10;;;
1º de abril de 2024;Fantástico;;;9;;;
1º de abril de 2024;Excepcional;;;10;;;
22 de março de 2024;Muito bom;;;8;;;
19 de março de 2024;Excepcional;;;10;;;
19 de março de 2024;Fantástico;;;9;;;
13 de março de 2024;Fantástico;;;9;;;
11 de março de 2024;Excepcional;;;10;;;
8 de março de 2024;Fantástico;;;9;;;
8 de março de 2024;Bom hotel em Recofe;;;8;;;
6 de março de 2024;Excepcional;;;10;;;
6 de março de 2024;Excepcional;;;10;;;
4 de março de 2024;Fantástico;;;9;;;
3 de março de 2024;Excepcional;;;10;;;
1º de março de 2024;Fantástico;;;9;;;
28 de fevereiro de 2024;Excepcional;;;10;;;
27 de fevereiro de 2024;Excepcional;;;10;;;
25 de fevereiro de 2024;Fantástico;;;9;;;
22 de fevereiro de 2024;Fantástico;;;9;;;
18 de fevereiro de 2024;Excepcional;;;10;;;
16 de fevereiro de 2024;Fantástico;;;9;;;
16 de fevereiro de 2024;Excepcional;;;10;;;
13 de fevereiro de 2024;Fantástico;;;9;;;
9 de fevereiro de 2024;Excepcional;;;10;;;
1º de fevereiro de 2024;Excepcional;;;10;;;
1º de fevereiro de 2024;Fantástico;;;9;;;
28 de janeiro de 2024;Excepcional;;;10;;;
28 de janeiro de 2024;Excepcional;;;10;;;
28 de janeiro de 2024;Excepcional;;;10;;;
26 de janeiro de 2024;Excepcional;;;10;;;
25 de janeiro de 2024;Excepcional;;;10;;;
24 de janeiro de 2024;Fantástico;;;9;;;
23 de janeiro de 2024;Fantástico;;;9;;;
23 de janeiro de 2024;Fantástico;;;9;;;
15 de janeiro de 2024;Excepcional;;;10;;;
14 de janeiro de 2024;Excepcional;;;10;;;
11 de janeiro de 2024;Fantástico;;;9;;;
10 de janeiro de 2024;Muito bom;;;8;;;
9 de janeiro de 2024;Excepcional;;;10;;;
8 de janeiro de 2024;Fantástico;;;9;;;
8 de janeiro de 2024;Fantástico;;;9;;;
8 de janeiro de 2024;Fantástico;;;9;;;
7 de janeiro de 2024;Excepcional;;;10;;;
6 de janeiro de 2024;Fantástico;;;9;;;
6 de janeiro de 2024;Excepcional;;;10;;;
3 de janeiro de 2024;Fantástico;;;9;;;
2 de janeiro de 2024;Excepcional;;;10;;;
2 de janeiro de 2024;Fantástico;;;9;;;
2 de janeiro de 2024;Fantástico;;;9;;;
2 de janeiro de 2024;Fantástico;;;9;;;
31 de dezembro de 2023;Muito bom;;;8;;;
30 de dezembro de 2023;Excepcional;;;10;;;
27 de dezembro de 2023;Excepcional;;;10;;;
25 de dezembro de 2023;Excepcional;;;10;;;
25 de dezembro de 2023;Fantástico;;;9;;;
19 de dezembro de 2023;Excepcional;;;10;;;
18 de dezembro de 2023;Excepcional;;;10;;;
16 de dezembro de 2023;Excepcional;;;10;;;
16 de dezembro de 2023;Fantástico;;;9;;;
15 de dezembro de 2023;Excepcional;;;10;;;
15 de dezembro de 2023;Muito bom;;;8;;;
15 de dezembro de 2023;Fantástico;;;9;;;
15 de dezembro de 2023;Fantástico;;;9;;;
13 de dezembro de 2023;Excepcional;;;10;;;
12 de dezembro de 2023;Excepcional;;;10;;;
11 de dezembro de 2023;Fantástico;;;9;;;
10 de dezembro de 2023;Excepcional;;;10;;;
10 de dezembro de 2023;Excepcional;;;10;;;
10 de dezembro de 2023;Fantástico;;;9;;;
10 de dezembro de 2023;Fantástico;;;9;;;
8 de dezembro de 2023;Excepcional;;;10;;;
7 de dezembro de 2023;Excepcional;;;10;;;
5 de dezembro de 2023;Muito bom;;;8;;;
5 de dezembro de 2023;Fantástico;;;9;;;
4 de dezembro de 2023;Fantástico;;;9;;;
4 de dezembro de 2023;Excepcional;;;10;;;
4 de dezembro de 2023;Fantástico;;;9;;;
4 de dezembro de 2023;Excepcional;;;10;;;
3 de dezembro de 2023;Fantástico;;;9;;;
29 de novembro de 2023;Excepcional;;;10;;;
28 de novembro de 2023;Excepcional;;;10;;;
28 de novembro de 2023;Gostei muito do hotel, acomodações, cafe da manha e localização excelentes;;;9;;;
26 de novembro de 2023;Fantástico;;;9;;;
25 de novembro de 2023;Fantástico;;;9;;;
25 de novembro de 2023;Fantástico;;;9;;;
23 de novembro de 2023;Excepcional;;;10;;;
23 de novembro de 2023;Excepcional;;;10;;;
18 de novembro de 2023;Muito bom;;;8;;;
18 de novembro de 2023;Excepcional;;;10;;;
17 de novembro de 2023;Fantástico;;;9;;;
17 de novembro de 2023;Excepcional;;;10;;;
15 de novembro de 2023;Fantástico;;;9;;;
15 de novembro de 2023;Excepcional;;;10;;;
15 de novembro de 2023;Fantástico;;;9;;;
14 de novembro de 2023;Muito bom;;;8;;;
14 de novembro de 2023;Muito bom;;;8;;;
13 de novembro de 2023;Fantástico;;;9;;;
13 de novembro de 2023;Fantástico;;;9;;;
13 de novembro de 2023;Excepcional;;;10;;;
12 de novembro de 2023;Excepcional;;;10;;;
12 de novembro de 2023;Excepcional;;;10;;;
12 de novembro de 2023;Excepcional;;;10;;;
11 de novembro de 2023;Fantástico;;;9;;;
9 de novembro de 2023;Excepcional;;;10;;;
9 de novembro de 2023;Excepcional;;;10;;;
6 de novembro de 2023;Excepcional;;;10;;;
6 de novembro de 2023;Excepcional;;;10;;;
5 de novembro de 2023;Excepcional;;;10;;;
5 de novembro de 2023;Fantástico;;;9;;;
4 de novembro de 2023;Excepcional;;;10;;;
3 de novembro de 2023;Excelente;;;10;;;
2 de novembro de 2023;Excepcional;;;10;;;
2 de novembro de 2023;Excepcional;;;10;;;
2 de novembro de 2023;Excepcional;;;10;;;
31 de outubro de 2023;Fantástico;;;9;;;
31 de outubro de 2023;Fantástico;;;9;;;
29 de outubro de 2023;Fantástico;;;9;;;
25 de outubro de 2023;Excepcional;;;10;;;
23 de outubro de 2023;Muito bom;;;8;;;
23 de outubro de 2023;Excepcional;;;10;;;
22 de outubro de 2023;Muito bom;;;8;;;
19 de outubro de 2023;Excepcional;;;10;;;
15 de outubro de 2023;Excepcional;;;10;;;
12 de outubro de 2023;Muito bom;;;8;;;
12 de outubro de 2023;Excepcional;;;10;;;
10 de outubro de 2023;Fantástico;;;9;;;
8 de outubro de 2023;Excepcional;;;10;;;
8 de outubro de 2023;Fantástico;;;9;;;
7 de outubro de 2023;Fantástico;;;9;;;
5 de outubro de 2023;Fantástico;;;9;;;
4 de outubro de 2023;Excepcional;;;10;;;
3 de outubro de 2023;Excepcional;;;10;;;
2 de outubro de 2023;Muito bom;;;8;;;
2 de outubro de 2023;Fantástico;;;9;;;
2 de outubro de 2023;Fantástico;;;9;;;
27 de setembro de 2023;Muito bom;;;8;;;
27 de setembro de 2023;Fantástico;;;9;;;
26 de setembro de 2023;Excepcional;;;10;;;
25 de setembro de 2023;Muito bom;;;8;;;
24 de setembro de 2023;Excepcional;;;10;;;
24 de setembro de 2023;Fantástico;;;9;;;
23 de setembro de 2023;Fantástico;;;9;;;
23 de setembro de 2023;Excepcional;;;10;;;
20 de setembro de 2023;Fantástico;;;9;;;
19 de setembro de 2023;Excepcional;;;10;;;
19 de setembro de 2023;Fantástico;;;9;;;
18 de setembro de 2023;Excepcional;;;10;;;
18 de setembro de 2023;Excepcional;;;10;;;
18 de setembro de 2023;Muito bom;;;8;;;
17 de setembro de 2023;Excepcional;;;10;;;
17 de setembro de 2023;Muito bom;;;8;;;
17 de setembro de 2023;Excepcional;;;10;;;
13 de setembro de 2023;Excepcional;;;10;;;
13 de setembro de 2023;Excepcional;;;10;;;
11 de setembro de 2023;Excepcional;;;10;;;
11 de setembro de 2023;Excepcional;;;10;;;
10 de setembro de 2023;Excepcional;;;10;;;
6 de setembro de 2023;Muito bom;;;8;;;
1º de setembro de 2023;Excepcional;;;10;;;
31 de agosto de 2023;Excepcional;;;10;;;
30 de agosto de 2023;Excepcional;;;10;;;
29 de agosto de 2023;Excepcional;;;10;;;
29 de agosto de 2023;Fantástico;;;9;;;
29 de agosto de 2023;Excepcional;;;10;;;
29 de agosto de 2023;Excepcional;;;10;;;
29 de agosto de 2023;Muito bom;;;8;;;
28 de agosto de 2023;Excepcional;;;10;;;
28 de agosto de 2023;Fantástico;;;9;;;
25 de agosto de 2023;Excepcional;;;10;;;
25 de agosto de 2023;Excepcional;;;10;;;
22 de agosto de 2023;Excepcional;;;10;;;
21 de agosto de 2023;Excepcional;;;10;;;
19 de agosto de 2023;Fantástico;;;9;;;
19 de agosto de 2023;Muito bom;;;8;;;
18 de agosto de 2023;Fantástico;;;9;;;
16 de agosto de 2023;Fantástico;;;9;;;
13 de agosto de 2023;Muito bom;;;8;;;
10 de agosto de 2023;Fantástico;;;9;;;
9 de agosto de 2023;Excepcional;;;10;;;
7 de agosto de 2023;Fantástico;;;9;;;
7 de agosto de 2023;Excepcional;;;10;;;
4 de agosto de 2023;Excepcional;;;10;;;
4 de agosto de 2023;Fantástico;;;9;;;
2 de agosto de 2023;Fantástico;;;9;;;
2 de agosto de 2023;Excepcional;;;10;;;
1º de agosto de 2023;Excepcional;;;10;;;
28 de julho de 2023;Excepcional;;;10;;;
27 de julho de 2023;Fantástico;;;9;;;
24 de julho de 2023;Fantástico;;;9;;;
24 de julho de 2023;Fantástico;;;9;;;
23 de julho de 2023;Fantástico;;;9;;;
23 de julho de 2023;Fantástico;;;9;;;
21 de julho de 2023;Excepcional;;;10;;;
20 de julho de 2023;Fantástico;;;9;;;
20 de julho de 2023;Fantástico;;;9;;;
20 de julho de 2023;Excepcional;;;10;;;
20 de julho de 2023;Fantástico;;;9;;;
19 de julho de 2023;Excepcional;;;10;;;
18 de julho de 2023;Excepcional;;;10;;;
18 de julho de 2023;Excepcional;;;10;;;
18 de julho de 2023;Muito bom;;;8;;;
16 de julho de 2023;Tudo perfeito! Desde a localização, limpeza e a hospitalidade dos funcionários fechou com chave de ouro.;;;10;;;
14 de julho de 2023;Fantástico;;;9;;;
13 de julho de 2023;Excepcional;;;10;;;
11 de julho de 2023;Excepcional;;;10;;;
10 de julho de 2023;Muito bom;;;8;;;
9 de julho de 2023;Muito bom;;;8;;;
9 de julho de 2023;Fantástico;;;9;;;
8 de julho de 2023;Excepcional;;;10;;;
7 de julho de 2023;Excepcional;;;10;;;
7 de julho de 2023;Excepcional;;;10;;;
4 de julho de 2023;Fantástico;;;9;;;
3 de julho de 2023;Excepcional;;;10;;;
3 de julho de 2023;Fantástico;;;9;;;
2 de julho de 2023;Muito bom;;;8;;;
1º de julho de 2023;Muito bom;;;8;;;
29 de junho de 2023;Excepcional;;;10;;;
29 de junho de 2023;Fantástico;;;9;;;
27 de junho de 2023;Excepcional;;;10;;;
27 de junho de 2023;Excepcional;;;10;;;
26 de junho de 2023;Excepcional;;;10;;;
25 de junho de 2023;Excepcional;;;10;;;
25 de junho de 2023;Excepcional;;;10;;;
25 de junho de 2023;Excepcional;;;10;;;
25 de junho de 2023;Fantástico;;;9;;;
25 de junho de 2023;Excepcional;;;10;;;
21 de junho de 2023;Excepcional;;;10;;;
21 de junho de 2023;Excepcional;;;10;;;
20 de junho de 2023;Excepcional;;;10;;;
19 de junho de 2023;Excepcional;;;10;;;
19 de junho de 2023;Excepcional;;;10;;;
18 de junho de 2023;Excepcional;;;10;;;
18 de junho de 2023;Fantástico;;;9;;;
18 de junho de 2023;Excepcional;;;10;;;
15 de junho de 2023;Excepcional;;;10;;;
15 de junho de 2023;Fantástico;;;9;;;
15 de junho de 2023;Fantástico;;;9;;;
13 de junho de 2023;Muito bom;;;8;;;
13 de junho de 2023;Fantástico;;;9;;;
13 de junho de 2023;Excepcional;;;10;;;
12 de junho de 2023;Fantástico;;;9;;;
12 de junho de 2023;Excepcional;;;10;;;
