data_avaliacao;titulo;comentario_positivo;comentario_negativo;nota;;;;;;
12 de agosto de 2024;Muito bom;O Hotel as pessoas da Recepçao são bem amigavel e muito competente;Não gostei do Restaurante do café da manha sempre a comida fria o cuscus muito seco e so tinhabum rapaz no restsurante wue atende bem as pessoas srmpre sorindo as outras pessoas não são bons proficionais pois para trabalha em restaurante temos que trata o cliente sempre bem e a comida do restsurante mim.desculpe mas não tem qualidade uma pena com um restaurante com uma vista tão boa e também passamos 3 dias tomando banho com agua fria mas mesmo assim.a diaria custou o mesmo valor.;8;;;;;;
9 de agosto de 2024;Muito bom;Restaurante excelente, café da manhã foi ótimo, e no jantar um rodizio de pizza muito gostoso.;teve uma pequena pane no banheiro do quarto, a janela permitia que a água pingasse para dentro, estava chovendo bastante.;8;;;;;;
8 de agosto de 2024;Muito bom;Localização excelente, café da manhã farto, quartos grandes e a piscina na terraço com uma vista muito bonita.;Acredito que a única vez que fomos mal atendidos foi no chek-in. O funcionário demorou a aparecer, chegamos um pouco depois das 11h da noite. E quando apareceu nos questionou porque não tínhamos preenchido uma ficha ainda, sendo que não fomos orientados previamente sobre o tal preenchimento, então, era claro que não tínhamos a preenchido, acho que o chek-in poderia ter sido mais rápido e mais eficiente.;8;;;;;;
5 de agosto de 2024;Pelo valor poderia ser muito melhor;Café da manhã Bom. Localização ótima;Limpeza ruim. Cortinas emboloradas. Lençóis ruins.;;;;;;;
"Hotel antigo mas poderia ser melhor cuidado.""";7;;;;;;;;;
30 de julho de 2024;Muito bom;Quarto grande e espaçoso;Chuveiro não vetava total e ficava gotejando;8;;;;;;
29 de julho de 2024;Muito bom;A cama é muito confortável, quarto espaçoso e vista para o mar. Café da manhã é bom, mas todo dia é a mesma coisa.;Chuveiro é ruim, no último dia tomamos banho gelado. No café da manhã não tem capuccinos e cobra um valor alto R$ 7,00 por uma cápsula de máquina. As instalações são bem baixas, se uma pessoa alta hospedar não consegue andar, mas as estruturas de Recife são assim mesmo.;8;;;;;;
26 de julho de 2024;Fantástico;Amei a localização e café da manhã.;;9;;;;;;
26 de julho de 2024;Muito bom;Localização;;8;;;;;;
25 de julho de 2024;Bom;Gostei da localização e do café da manhã.;Não fui bem recebida no check-in a recepcionista extremamente grossa e não passou nenhuma informação, apenas o número do quarto e as demais informações eu quem fui tentar descobrir.;7;;;;;;
25 de julho de 2024;Fantástico;A vista é ótima de frente para o mar;Os lençóis aparentam estar bem usados, e parecia ter cheiro de suor.;9;;;;;;
24 de julho de 2024;Muito bom;Localização;Cama e chuveiro;8;;;;;;
22 de julho de 2024;Valeu;Localização e a vista frontal para a praia;Nada importante;9;;;;;;
22 de julho de 2024;Bom;A localização é ótima. Os quartos são muito limpos. O café foi satisfatório. As pessoas que trabalham lá são bem receptivas e educadas.;"A água do chuveiro não esquentava, o técnico disse que só tinha um aquecedor, e no horário de ""pico"" não comportava da demanda, de forma que para tomar banho quente, tem que ser antes das 17 horas ou depois de 22 horas. O café da manhã não era muito variado, porém satisfatório.";7;;;;;;
21 de julho de 2024;Avaliação;Opções no café da manhã e localização;Banheiro com paredes sujas, bem amareladas e com lodo, bem desagradável.;8;;;;;;
21 de julho de 2024;Satisfeito;Da limpeza 🧹 perfeita;Preço do almoço!;9;;;;;;
21 de julho de 2024;Muito bom;Localização, de frente à praia, melhor vista.;NÃO TEM VAGA DE GARAGEM, apesar do anúncio informar a existência, precisa colocar o carro na rua. Ao chegar, a recepcionista péssima, de mal humor, isso no dia 19/07, os demais funcionários são bem simpáticos. O café da manhã deixa a desejar, pelo preço do quarto, bem simples.;8;;;;;;
20 de julho de 2024;No geral boa.;Quartos limpos, boas camas.;Banheiro vaza muita água pelo chão, vaso sanitário muito ruim, principalmente a descarga que funciona muito mal.;8;;;;;;
19 de julho de 2024;Muito bom;Localização;Ficamos no apartamento 504. O Chuveiro não esquenta bem, porta do Box com problema, Pia do banheiro entupida, as toalhas de banho não aparentavam estar bem lavadas.;8;;;;;;
15 de julho de 2024;Bom;Da vista maravilhosa. ;;;;;;;;
Do silêncio. ;;;;;;;;;;
"Atendimento""";Tudo estava bom.;7;;;;;;;;
7 de julho de 2024;Básico com bom custo benefício;Localização;- chuveiro super baixo - tenho 1,85 e tive que ficar abaixando. ;;;;;;;
#NOME?;;;;;;;;;;
